,land,date,driving,walking,transit
39120,Brandenburg,2020-03-01,113.15,,
39121,Brandenburg,2020-03-02,101.47,,
39122,Brandenburg,2020-03-03,102.09,,
39123,Brandenburg,2020-03-04,99.33,,
39124,Brandenburg,2020-03-05,101.64,,
39125,Brandenburg,2020-03-06,111.8,,
39126,Brandenburg,2020-03-07,105.32,,
39127,Brandenburg,2020-03-08,109.6,,
39128,Brandenburg,2020-03-09,100.67,,
39129,Brandenburg,2020-03-10,100.05,,
39130,Brandenburg,2020-03-11,96.07,,
39131,Brandenburg,2020-03-12,92.04,,
39132,Brandenburg,2020-03-13,88.34,,
39133,Brandenburg,2020-03-14,86.33,,
39134,Brandenburg,2020-03-15,83.92,,
39135,Brandenburg,2020-03-16,77.16,,
39136,Brandenburg,2020-03-17,76.47,,
39137,Brandenburg,2020-03-18,76.22,,
39138,Brandenburg,2020-03-19,67.37,,
39139,Brandenburg,2020-03-20,54.25,,
39140,Brandenburg,2020-03-21,46.79,,
39141,Brandenburg,2020-03-22,51.98,,
39142,Brandenburg,2020-03-23,50.73,,
39143,Brandenburg,2020-03-24,51.7,,
39144,Brandenburg,2020-03-25,51.81,,
39145,Brandenburg,2020-03-26,55.24,,
39146,Brandenburg,2020-03-27,52.94,,
39147,Brandenburg,2020-03-28,52.71,,
39148,Brandenburg,2020-03-29,45.67,,
39149,Brandenburg,2020-03-30,53.28,,
39150,Brandenburg,2020-03-31,55.82,,
39151,Brandenburg,2020-04-01,56.61,,
39152,Brandenburg,2020-04-02,56.39,,
39153,Brandenburg,2020-04-03,52.97,,
39154,Brandenburg,2020-04-04,48.97,,
39155,Brandenburg,2020-04-05,63.12,,
39156,Brandenburg,2020-04-06,67.13,,
39157,Brandenburg,2020-04-07,68.33,,
39158,Brandenburg,2020-04-08,69.85,,
39159,Brandenburg,2020-04-09,61.32,,
39160,Brandenburg,2020-04-10,53.7,,
39161,Brandenburg,2020-04-11,53.5,,
39162,Brandenburg,2020-04-12,57.42,,
39163,Brandenburg,2020-04-13,60.52,,
39164,Brandenburg,2020-04-14,68.19,,
39165,Brandenburg,2020-04-15,69.22,,
39166,Brandenburg,2020-04-16,71.49,,
39167,Brandenburg,2020-04-17,67.25,,
39168,Brandenburg,2020-04-18,64.83,,
39169,Brandenburg,2020-04-19,74.61,,
